,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
66,TUBA1B,PPM1A,RPL6,ASPN,AP2A2,CFL1,GPX4,ATOX1,TMSB10,BZW1,FBLN1,JAG2,FNDC1,AKNA
67,CFH,GHITM,GAL3ST4,GSN,ACTR2,DERL3,TMEM134,SELENOP,LGALS1,CLIC5,HLA-DRB1,FABP4,CCN5,GPR183
68,MSN,ACTB,RPL7,IGFBP7,HLA-DQA1,MT-ND1,ISG20,MT-ND2,PRG4,CEMIP,TTYH3,TEK,CRIP2,MZB1
69,ZFP36L1,MT-CYB,HEXB,COL8A1,COL18A1,HERPUD1,EIF1,RPL14,RPS27A,MAOB,CCL23,PDLIM1,RPL37,ARHGAP45
70,PLXNB2,SBNO2,HAVCR2,FGF18,SRPRB,FKBP11,FTL,RPL36A,RPL7,UGP2,CTSL,SPARC,NBL1,ADAMDEC1
71,TUBB,S100A9,RPL18,HSPB6,SRSF2,C1S,SRGN,ANGPTL2,CSN1S1,APP,TYMP,TAGLN,EPB41L2,AC103591.3
72,PLPP5,CAPNS1,RPL11,AQP1,SFRP1,RPL7,UQCR11,RPL10A,ITM2B,CCN2,SCG2,HES4,ADAM12,IGLC3
73,CAPNS1,COL6A1,SCARA3,ADIRF,A2M,BGN,ADAM8,HLA-DQB1,RPL37A,UST,TPSB2,CRIM1,CCN3,CD3D
74,SRGN,YWHAG,CCDC80,MT-ND3,TPSB2,MARCO,ETHE1,FUCA1,RPSA,ANK3,HPGD,CLDN5,C1QTNF3,GZMA
75,RACK1,AK1,GLB1,MFAP4,S100A8,STAB1,GSN,TPM3,PABPC1,MARCO,HLA-A,ADGRL2,MXRA5,MAP3K14
76,UBB,FMOD,C1S,SOD3,C3,AEBP1,HLA-DQA1,RPL23,C1QA,CD55,FSTL1,ADAMTS1,SSC5D,ANO9
77,LAMTOR1,SPARC,RPL23A,COL14A1,ASB8,TMEM167A,HSP90AB1,HINT1,C1S,S100A9,GPBAR1,RAMP3,FLRT2,SH2D1A
78,FAM92B,COPG1,RPS24,FAM180B,GPR155,TAGLN2,CST3,CAPZB,CCL18,RCAN1,C1QTNF4,PCAT19,TMSB4X,PLAC8
79,CD74,DUSP1,DNASE2,ATP5F1E,ADM,COL3A1,TMEM258,RPL23A,RPL26,GOLM1,MT-CO1,LMOD1,H19,RPL11
80,YWHAB,PROCR,C1R,ANK2,B2M,TIMP1,NFKBIA,MT-ATP6,RPL28,RPL18,IGHG1,CNN1,TBC1D23,RPS19
81,FLNA,RTN4,COL5A2,SCX,TPT1,PABPC1,BAX,CST3,SRGN,GULP1,PSAP,RHOJ,LYZ,RIPOR2
82,H3F3A,TMEM205,NBL1,MUC1,SERPING1,UBB,RPL37,RPL8,RPS28,LRP1B,TMSB10,CALD1,LY6E,TMC6
83,HNRNPA1,LY6E,HLA-DMB,TIMP3,DUSP1,OLFML2B,CD99,RPS15,FSTL1,CFB,CYBA,EFNA1,RPL9,PIK3CD
84,RPL18A,PCOLCE,MS4A4A,LAMB2,RNASE1,LGALS3,RPL27A,SEMA5A,PLTP,CDH23,KCNQ1,GJA5,GFPT2,CCDC88C
85,PKM,PTGES,PIK3R5,COL6A2,CCS,DUSP1,CHI3L2,PRELP,CRIP1,BCAT1,ACSL1,ID3,UBTD1,MIR155HG
86,PTMA,TMSB10,SORL1,ABCA8,RASSF4,MSN,APOE,NOP10,MMP1,TMEM45A,SSR4,KDR,C1QB,CD37
87,E2F5,SMIM14,CEMIP,SLPI,PGRMC1,RHOA,COL3A1,CYP1B1,OST4,SORBS2,CLEC4G,FABP5,KLF2,PLA2G2D
88,ST13,CRIP2,FCGR2A,KCNK15,LUM,COX5B,GLUL,PFN1,S100A4,DLX3,RNASE2,FAM107A,RPL19,NKG7
89,GNB1,TUBA1B,LILRB5,MT-CO3,ASPN,CD163,IGKC,ZFP36L2,FBP1,TNFSF15,FKBP1A,MALL,SNX21,CD2
90,CST3,PKM,CD84,SSPN,LGALS3BP,ENG,DUSP23,NOSIP,CEBPD,S100A6,PLAC9,SPP1,GRN,ITGA4
91,ANXA2,INF2,RPS28,CYS1,RPS13,ATF4,CTSB,CRIP1,RPL4,PMAIP1,CTSS,FKBP1A,EEF1A1,CFLAR
92,IQGAP1,EMC10,NCF1,HTRA3,THBS2,MT2A,DDIT4,CD55,KDELR2,FGF10,SIDT2,ACTC1,TPPP3,MT-ND3
93,SPCS2,TMEM8A,AP1B1,COL6A1,TGM2,ATP6V0E1,CCN2,BGN,RPS14,COL3A1,TMSB4X,SPRY1,ARMC7,AC004585.1
94,EAF2,LILRB5,MR1,ZNF704,NELFE,MYL12B,ISLR,PLTP,STAT1,SLC39A14,MT-CO3,PEAR1,ANGPTL1,DUSP5
95,GRN,APLP2,ACP2,RNASE4,TPP1,LRP1,B2M,TREM1,HLA-DRB5,FAM49A,RIN2,SELE,MMP14,TMSB10
96,DCN,ARL2,RPL3,ACAN,WASHC1,CAST,RPS21,CHI3L2,EIF3I,CFI,LCP1,TPM1,FGFBP2,SEMA4D
97,MT-CO2,RPS4X,MT2A,MXRA8,NONO,TLE5,IFI27L2,ANXA2,DDX5,C1GALT1,SNX6,TSPAN7,C1R,U2AF1L4
98,CANX,ROMO1,RPL9,DIO3,TRIM27,PGAM1,JAML,SND1,SDHC,ABI3BP,FBLN2,BCL6B,MLIP,TNC
99,POLR2G,BGN,FGR,RBMS3,CDH11,TMED10,TRMT112,RPLP0,REX1BD,GPR88,MS4A7,CRIP2,SPON1,IGLC1
